s_no,area_type,availability,location,size,society,total_sqft,bath,balcony,price
3977,Super built-up  Area,Ready To Move,Chikkathoguru,1 BHK,,1500,1,1,19.5
3978,Plot  Area,18-May,1st Block Koramangala,4 Bedroom,,2360,4,2,600
3979,Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,4,,250
3980,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3,3,60.98
3981,Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,MJtroty,1329,2,2,41
3982,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,,1125,2,1,44
3983,Plot  Area,Ready To Move,Anand nagar,2 Bedroom,,1200,2,0,70
3984,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1350,3,3,39.97
3985,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,3,0,51.19
3986,Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3,2,195
3987,Plot  Area,Ready To Move,West of Chord Road,2 Bedroom,,1200,2,1,160
3988,Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1220,3,1,35.23
3989,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Kencyes,1255,2,1,80
3990,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,3,155
3991,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1329,2,2,70
3992,Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,2,1,60
3993,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,IBaveen,2135,3,2,160
3994,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,,2770,4,3,315
3995,Built-up  Area,19-Dec,"Hoodi Circle, ",1 BHK,,813,1,1,39
3996,Plot  Area,Ready To Move,Junnasandra,4 Bedroom,,3884,4,3,240
3997,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,,3876,3,1,300
3998,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2,2,30
3999,Plot  Area,Ready To Move,Handenahalli,4 Bedroom,,4750,2,1,120
4000,Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3,3,70
4001,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3,2,95
4002,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pa II E,1440,2,2,55
4003,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1575,3,,90
4004,Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1630,2,2,97.78
4005,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1180,3,1,55
4006,Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1090,2,1,36
4007,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,2,48.45
4008,Built-up  Area,Ready To Move,"Sarjapur Road, ",4 BHK,,2425,4,3,173
4009,Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,2,1,33.82
4010,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,2,1,50
4011,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,2,1,58
4012,Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,8,,150
4013,Super built-up  Area,18-Apr,manyata tech park,2 BHK,,1150,2,1,56
4014,Built-up  Area,Ready To Move,Frazer Town,3 BHK,Clint E,1900,4,2,145
4015,Super built-up  Area,Ready To Move,Divya Unnathi Layout,2 BHK,,1141,2,2,49
4016,Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,937,2,1,44
4017,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,2,1,60
4018,Super built-up  Area,18-Feb,Panathur,2 BHK,,1000,2,1,65.3
4019,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1450,3,,77.41
4020,Plot  Area,Ready To Move,Yelachenahalli,5 Bedroom,,897,2,1,85
4021,Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2,2,43
4022,Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,,1280,2,1,75
4023,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1050,2,3,45
4024,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2,1,86
4025,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2,1,70
4026,Super built-up  Area,18-Apr,Devanahalli,2 BHK,Oznuean,1174,2,1,59
4027,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,3,2,162
4028,Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,,735,1,1,75
4029,Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500,1,0,24
4030,Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1304,3,3,80
4031,Built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3,2,120
4032,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,52
4033,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,3,1,42
4034,Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,Mamesi ,1100,2,1,50
4035,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436,6,3,500
4036,Plot  Area,Ready To Move,SMV layout,3 Bedroom,,1200,4,0,145
4037,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1140,2,2,50
4038,Plot  Area,Ready To Move,Roopena Agrahara,2 Bedroom,,1200,2,1,100
4039,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1532,3,2,83
4040,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Vahid O,2776,4,2,195
4041,Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1531,2,0,75
4042,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2,2,50.79
4043,Super built-up  Area,18-Dec,Uttarahalli,2 BHK,DSera S,1325,2,1,53
4044,Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,,1200,3,1,160
4045,Super built-up  Area,17-Apr,Electronic City,3 BHK,Sie 2is,1156,2,2,44
4046,Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,,2000,4,2,320
4047,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2,2,70
4048,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1934,2,0,90
4049,Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,,1060,2,1,40
4050,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3,1,95
4051,Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Rallaa ,1185,2,1,85
4052,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1265,2,1,82
4053,Built-up  Area,18-May,"Near Electronic City, ",4 BHK,,3200,5,1,150
4054,Super built-up  Area,Ready To Move,Virat Nagar,2 BHK,,1196,2,2,56.81
4055,Built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1280,2,1,69
4056,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,800,4,2,86
4057,Built-up  Area,Ready To Move,Hulimavu,2 BHK,VisicCl,1175,2,,45
4058,Built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,,1850,3,3,98
4059,Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,4,2,525
4060,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1195,2,1,70
4061,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,2000,3,3,185
4062,Carpet  Area,Ready To Move,Veerannapalya,7 BHK,,600,4,0,100
4063,Plot  Area,18-Feb,Hebbal Kempapura,4 Bedroom,,800,5,3,155
4064,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1180,2,2,36.5
4065,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1050,2,1,49.87
4066,Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,2,1,40.44
4067,Plot  Area,17-Dec,Bagalakunte,4 Bedroom,,2360,4,2,150
4068,Super built-up  Area,Ready To Move,Banashankari stage 2,2 BHK,,1030,2,1,77.25
4069,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1512,1,2,65.01
4070,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,1,48
4071,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,61
4072,Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1485,3,2,115
4073,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Courf T,1124,2,2,55
4074,Plot  Area,Ready To Move,TC Palaya,6 Bedroom,,2400,6,3,370
4075,Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1407,3,1,120
4076,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2,3,97
4077,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,2,1,98.86
4078,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1570,3,2,140
4079,Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3480,4,,284
4080,Super built-up  Area,19-Sep,Chandapura,1 BHK,SuVue S,520,1,1,14.04
4081,Super built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,2000,3,2,160
4082,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2,2,75
4083,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,65
4084,Built-up  Area,20-Dec,"ECC Road, Whitefield, ",3 BHK,,1575,3,2,93
4085,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1965,4,2,125
4086,Built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,Siite E,1300,2,2,70
4087,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1,4,,120
4088,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,957,2,1,47
4089,Super built-up  Area,Ready To Move,Hoskote,3 BHK,Thiced ,1740,3,3,60
4090,Plot  Area,Ready To Move,Kanakpura Road,5 Bedroom,,1080,6,3,65
4091,Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,1060,2,0,35
4092,Carpet  Area,Ready To Move,Chikkadunnasandra,2 BHK,,975,2,2,50
4093,Super built-up  Area,18-May,Ramamurthy Nagar,2 BHK,,1150,2,2,51
4094,Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1738,2,3,79
4095,Super built-up  Area,18-May,Bommanahalli,3 BHK,,1250,3,2,55
4096,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Dhncyud,1788,3,2,90
4097,Super built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,1151,2,1,59
4098,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Evood S,1300,2,2,60
4099,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2,1,52.8
4100,Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1380,2,1,75
4101,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3,2,117
4102,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1141,2,1,45.9
4103,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,2,82.5
4104,Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1355,2,1,61
4105,Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1150,2,0,70
4106,Super built-up  Area,18-May,Indranagar  100ft road defence colony,5 BHK,,5800,5,,80
4107,Built-up  Area,Ready To Move,Canara Bank Colony,2 BHK,,1000,2,2,45
4108,Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2,1,65
4109,Super built-up  Area,Ready To Move,Wajid layout thanisandra,4 BHK,,3000,5,2,100
4110,Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1436,3,3,70
4111,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4,3,220
4112,Built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,2372,3,,140
4113,Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1500,6,,240
4114,Super built-up  Area,18-Jan,BTM Layout,3 BHK,,167Sq. Meter,3,2,10
4115,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1200,2,0,150
4116,Super built-up  Area,18-Mar,Rayasandra,2 BHK,,1016,2,1,58
4117,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2,2,48
4118,Super built-up  Area,Ready To Move,B Channasandra,2 BHK,PrncyRe,1080,2,1,45
4119,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,60
4120,Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,PrpiaSr,1532,3,1,115
4121,Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1040,2,2,42.12
4122,Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,Pudgear,3100,3,3,250
4123,Super built-up  Area,21-Jun,Tumkur Road,2 BHK,Coowsri,1076 - 1199,2,0,48.905
4124,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,2,51.6
4125,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1160,1,0,163
4126,Super built-up  Area,Ready To Move,ITPL,4 BHK,,3262,5,2,205
4127,Plot  Area,Ready To Move,Achins Road,7 Bedroom,,2100,7,0,410
4128,Built-up  Area,Ready To Move,Uvce Layout,2 BHK,,1190,2,2,100
4129,Super built-up  Area,Ready To Move,Panduranga Nagar,3 BHK,SApusnu,1827,3,3,100
4130,Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1210,2,1,75
4131,Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,Srmitev,1500,3,3,95
4132,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,53.5
4133,Super built-up  Area,21-Mar,Hebbal,2 BHK,Oztarol,1251,2,1,88.73
4134,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,RotatHa,1600,2,2,115
4135,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65.5
4136,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,93
4137,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,159
4138,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Dehts H,1510,2,3,59
4139,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1925,2,3,114
4140,Plot  Area,Ready To Move,Hennur Road,3 Bedroom,LGapeon,2651,2,2,225
4141,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,147
4142,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,GancyRe,1000,2,2,36
4143,Plot  Area,Ready To Move,KR Puram,3 Bedroom,Salle F,1752,3,2,145
4144,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,960,2,3,56
4145,Super built-up  Area,Ready To Move,Gattigere,2 BHK,Vaw 2il,1180,2,2,63
4146,Built-up  Area,Ready To Move,Benson Town,3 BHK,Fants A,2270,3,1,180
4147,Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,,650,2,0,59
4148,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1200,2,1,75
4149,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2,1,46
4150,Super built-up  Area,18-Jan,Roopena Agrahara,3 BHK,,1300,3,2,47
4151,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1157,2,0,40
4152,Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1300,3,2,69
4153,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,59
4154,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2006,4,2,196
4155,Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,1290,2,1,80
4156,Super built-up  Area,Ready To Move,Hoskote,2 BHK,VRrtsa ,1170,2,3,45
4157,Plot  Area,Ready To Move,Cottonpet,4 Bedroom,,971,2,2,135
4158,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Coona A,1400,2,3,78
4159,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2,2,75
4160,Built-up  Area,Ready To Move,Kamakshipalya,3 BHK,Viaxy G,1155,2,0,60
4161,Built-up  Area,Ready To Move,Hormavu,3 BHK,Cadel C,1725,3,2,85
4162,Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,700,2,1,40
4163,Built-up  Area,Ready To Move,Yemlur,4 Bedroom,Epllan ,7000,5,,2050
4164,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1112,2,1,88
4165,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2,,78
4166,Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2,1,81
4167,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,915,2,1,32
4168,Plot  Area,Ready To Move,6th Phase JP Nagar,8 Bedroom,,1650,6,2,135
4169,Super built-up  Area,Ready To Move,Hosur Road,1 BHK,Collsrn,760,1,2,21.28
4170,Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1540,3,2,68
4171,Super built-up  Area,Ready To Move,P&T Layout,2 BHK,,1206,2,3,38.5
4172,Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,95
4173,Plot  Area,Ready To Move,Canara Bank Layout,4 Bedroom,,1200,4,2,170
4174,Plot  Area,Ready To Move,singapura paradise,4 Bedroom,,1200,4,1,140
4175,Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2342,3,2,115
4176,Super built-up  Area,Ready To Move,Kannur,3 BHK,,1200,2,1,55
4177,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,MDoseim,1056,2,2,33
4178,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8 Bedroom,,4800,8,,225
4179,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3,3,54.3
4180,Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2,2,36.69
4181,Super built-up  Area,Ready To Move,Dollars Colony,2 BHK,Koowsis,1097,2,3,65
4182,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,850,2,2,35
4183,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3,2,115
4184,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Shntsad,2300,3,,317
4185,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1200,2,1,59
4186,Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,,1080,2,2,38
4187,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1200,2,1,50.3
4188,Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,4,0,550
4189,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Sriseva,1400,2,1,78
4190,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Vastael,1500,4,3,200
4191,Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381 - 535,1,0,19.695
4192,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1230,2,1,57
4193,Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,SSonsvi,1640,3,3,88
4194,Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1700,3,2,125
4195,Super built-up  Area,Ready To Move,Bommasandra,3 BHK,Niara S,1478,2,,44
4196,Super built-up  Area,Ready To Move,Defence Colony,4 BHK,Masta A,6600,4,,986
4197,Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1020,2,2,40.79
4198,Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1200,2,1,150
4199,Built-up  Area,Ready To Move,Yelahanka,3 BHK,,1275,2,2,95
4200,Built-up  Area,Ready To Move,Cambridge Layout,4 Bedroom,,1600,3,1,165
4201,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1110,2,2,38.85
4202,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1627.86,3,2,88
4203,Built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,2,1,22
4204,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3004,4,2,285
4205,Super built-up  Area,18-May,Hosa Road,2 BHK,Pamesy ,1133,2,1,52
4206,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1182,2,2,82.5
4207,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500,3,3,100
4208,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3900,5,,360
4209,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srconor,1200,2,2,58
4210,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2,1,48.79
4211,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215 - 2475,,,293
4212,Built-up  Area,Ready To Move,Jayanagar,2 BHK,,900,2,2,110
4213,Built-up  Area,Ready To Move,Amruthahalli,2 BHK,NCondia,1100,2,1,45
4214,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Mameser,635,1,1,22
4215,Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2062,3,,140
4216,Built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1874,4,1,130
4217,Plot  Area,18-Apr,Vidyaranyapura,4 Bedroom,,600,3,2,78
4218,Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Saesttt,1171,2,2,75
4219,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,,2020,3,3,85
4220,Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,,1059,2,2,34.5
4221,Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1315,2,1,59.1
4222,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3,2,110
4223,Built-up  Area,Ready To Move,Sampangi Rama Nagar,2 Bedroom,,1200,2,1,125
4224,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1192,2,1,62
4225,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3,2,121
4226,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1250,2,2,72
4227,Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1,0,34.385
4228,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1340,2,1,77
4229,Built-up  Area,Ready To Move,Cooke Town,3 BHK,,2388,4,3,239
4230,Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2,1,104
4231,Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,,1355,2,3,75
4232,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1150,2,2,65
4233,Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3,3,113
4234,Super built-up  Area,19-Jun,Begur Road,4 BHK,,2462,4,3,124
4235,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3,2,85
4236,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1430,2,2,75
4237,Super built-up  Area,Ready To Move,BEML Layout 5th stage,3 BHK,,2000,3,2,85
4238,Carpet  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,993,2,2,50
4239,Plot  Area,Ready To Move,Laggere,4 Bedroom,,1260,4,1,150
4240,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1700,3,3,88
4241,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1270,2,2,78
4242,Plot  Area,18-Apr,Anjanapura,3 Bedroom,,1500,3,1,121
4243,Built-up  Area,Ready To Move,Koramangala,3 BHK,,2300,3,3,290
4244,Plot  Area,18-Mar,Hunasamaranahalli,4 Bedroom,EmardBo,7500,4,2,900
4245,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1650,3,3,86.45
4246,Super built-up  Area,Ready To Move,Panathur,2 BHK,Suriaa ,1109,2,1,63
4247,Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,Metrais,1280,2,1,49.75
4248,Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,,2885,3,1,185
4249,Plot  Area,Ready To Move,Banashankari,9 Bedroom,,1200,9,1,145
4250,Plot  Area,Ready To Move,Devanahalli,3 Bedroom,Prowser,1600,3,2,180
4251,Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1462,3,3,71
4252,Super built-up  Area,19-Mar,Marathahalli,1 BHK,Unezes ,607,1,1,35
4253,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,,930,2,0,25
4254,Plot  Area,17-Nov,Varthur,4 Bedroom,,4500,5,2,300
4255,Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,,1200,5,,160
4256,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,,2600,3,1,237
4257,Super built-up  Area,Ready To Move,JP Nagar,4 BHK,,3000,4,2,140
4258,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Coomee ,1418,3,2,52.47
4259,Built-up  Area,Ready To Move,Ramesh Nagar,2 Bedroom,,4200,1,2,160
4260,Built-up  Area,Ready To Move,EPIP Zone,2 BHK,ValiaCa,1125,2,1,65
4261,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1825,3,2,126
4262,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1320,2,3,79.5
4263,Built-up  Area,Ready To Move,JP Nagar,4 Bedroom,,3000,4,2,140
4264,Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,MamalPr,1490,2,2,300
4265,Plot  Area,Ready To Move,8th block Koramangala,4 Bedroom,,1650,3,1,300
4266,Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,750,2,1,52.7
4267,Super built-up  Area,19-Dec,Yelahanka,3 BHK,Masser ,1400,2,2,80.54
4268,Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,4104,4,3,360
4269,Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,5000,4,0,375
4270,Plot  Area,Ready To Move,Mahadevpura,5 Bedroom,,3295,4,2,260
4271,Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,,1150,3,1,110
4272,Plot  Area,18-Jul,Whitefield,3 Bedroom,,1200,3,1,61.96
4273,Built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,Pathira,965,2,2,48
4274,Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1,1,26
4275,Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,1100,2,2,43
4276,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1180,2,2,41
4277,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2,2,48
4278,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,1,44
4279,Super built-up  Area,18-Apr,Silk Board,2 BHK,,1215,2,2,49.85
